coffee_id,Moisture,Color,Category One Defects,Category Two Defects,Quakers
218,12%,Bluish-Green,0,0,0
219,0%,,0,16,0
220,0%,Blue-Green,0,0,0
221,10%,Green,0,5,0
222,13%,Green,0,0,0
223,12%,Green,0,4,0
224,11%,Bluish-Green,0,0,0
225,8%,Green,0,0,0
226,11%,Green,0,3,0
227,11%,Green,0,4,0
228,11%,Bluish-Green,0,2,0
229,0%,Green,0,2,0
230,11%,Bluish-Green,0,2,0
231,11%,Green,0,1,0
232,12%,Bluish-Green,0,0,0
233,0%,Green,1,3,3
234,10%,Bluish-Green,0,4,0
235,10%,Green,0,4,0
236,0%,,0,2,0
237,10%,Bluish-Green,0,10,0
238,11%,Green,1,9,0
239,11%,Green,1,10,0
240,9%,,0,15,0
241,8%,None,1,13,2
242,11%,Green,3,1,11
243,10%,Green,0,5,0
244,12%,Green,0,7,0
245,11%,Green,2,7,0
246,10%,Green,0,1,0
247,10%,Green,0,0,0
248,12%,Green,0,0,0
249,12%,Green,0,0,0
250,12%,Green,0,3,0
251,9%,Green,4,40,0
252,10%,Green,0,0,0
253,11%,Green,0,1,0
254,0%,Green,0,2,0
255,12%,Green,0,0,0
256,0%,Bluish-Green,0,0,0
257,10%,Green,10,26,0
258,6%,,0,0,0
259,0%,Green,0,3,0
260,11%,Green,0,5,0
261,10%,Bluish-Green,0,1,0
262,11%,Green,0,7,2
263,11%,Green,0,3,0
264,11%,Green,1,2,0
265,0%,,1,5,3
266,0%,Blue-Green,0,0,0
267,0%,,0,0,0
268,0%,None,1,1,0
269,0%,Green,0,1,0
270,6%,Green,0,0,0
271,12%,Green,0,3,0
272,12%,Blue-Green,10,32,0
273,11%,,0,2,0
274,0%,Green,0,2,0
275,0%,Green,1,6,0
276,0%,Green,1,0,2
277,0%,Blue-Green,0,0,0
278,11%,Green,0,6,7
279,0%,,0,0,0
280,0%,Green,0,0,0
281,0%,Green,0,1,0
282,12%,Green,0,4,0
283,0%,Green,0,1,0
284,10%,Green,0,3,0
285,10%,Green,0,1,0
286,10%,Green,0,0,0
287,9%,Bluish-Green,0,0,0
288,11%,Green,0,1,0
289,11%,Green,0,3,0
290,10%,Green,0,2,0
291,11%,,0,4,0
292,12%,Green,0,3,0
293,2%,,0,2,0
294,1%,,0,0,0
295,10%,,0,3,0
296,11%,Green,0,2,0
297,11%,Green,0,5,0
298,11%,Green,0,1,0
299,0%,Green,0,0,0
300,0%,Green,1,4,0
301,10%,Green,0,2,1
302,0%,Green,0,0,0
303,12%,Green,0,0,0
304,12%,Green,0,1,0
305,0%,Green,0,5,0
306,0%,Green,0,3,0
307,0%,Blue-Green,0,1,0
308,11%,Green,0,3,0
309,0%,Bluish-Green,0,0,0
310,13%,None,5,5,0
311,11%,Bluish-Green,0,1,0
312,10%,,0,1,0
313,6%,,0,1,0
314,0%,,0,0,0
315,11%,Green,0,2,0
316,11%,Bluish-Green,0,0,0
317,10%,Green,0,2,0
318,10%,Green,0,3,0
319,11%,Green,0,3,2
320,10%,Bluish-Green,0,0,0
321,11%,Blue-Green,0,1,0
322,12%,Bluish-Green,0,0,0
323,11%,,0,4,0
324,10%,Green,0,0,0
325,0%,Green,0,3,0
326,0%,Green,0,1,0
327,12%,Green,1,3,0
328,11%,Green,0,2,0
329,11%,Green,0,1,0
330,11%,Green,0,1,0
331,11%,Green,0,13,0
332,12%,Green,4,11,0
333,12%,Green,0,0,0
334,10%,Green,0,0,0
335,0%,,0,0,0
336,11%,Green,0,5,0
337,11%,Green,0,0,1
338,11%,Green,0,4,0
339,10%,Green,0,4,1
340,12%,Green,0,3,0
341,12%,Green,1,13,0
342,0%,,0,7,0
343,12%,Green,0,5,0
344,0%,Green,0,0,0
345,12%,Green,0,1,0
346,0%,,0,0,0
347,11%,Green,0,0,0
348,11%,Green,0,3,0
349,12%,,0,2,0
350,11%,Green,0,4,0
351,12%,Blue-Green,0,2,0
352,0%,Bluish-Green,0,5,0
353,11%,Blue-Green,0,0,0
354,0%,Blue-Green,0,0,0
355,0%,Green,0,0,0
356,10%,Bluish-Green,0,5,2
357,12%,Green,0,4,0
358,13%,Green,0,21,0
359,13%,Bluish-Green,0,8,0
360,10%,,1,18,0
361,0%,,1,0,0
362,11%,Green,0,0,0
363,10%,Green,0,0,0
364,0%,,2,0,0
365,10%,Green,0,3,0
366,0%,Green,1,1,0
367,11%,Green,0,2,
368,13%,Green,0,14,0
369,11%,Green,0,12,0
370,12%,Green,0,0,0
371,10%,Green,0,5,0
372,11%,Green,0,0,0
373,0%,Green,3,12,0
374,1%,,0,0,0
375,0%,,0,0,0
376,0%,Green,0,1,2
377,10%,Green,0,3,0
378,11%,Green,0,2,0
379,9%,Blue-Green,0,4,0
380,11%,Blue-Green,0,0,0
381,11%,Green,0,1,0
382,13%,Bluish-Green,0,0,0
383,11%,,0,0,0
384,12%,Green,4,0,0
385,12%,Green,0,6,0
386,13%,Green,0,4,0
387,12%,Green,0,1,0
388,10%,Green,0,1,0
389,10%,Green,0,2,0
390,11%,Green,0,0,0
391,0%,Green,0,2,0
392,11%,Green,0,2,0
393,10%,,1,3,0
394,1%,,0,0,0
395,11%,,0,0,0
396,9%,,2,4,0
397,0%,,0,0,1
398,0%,Blue-Green,0,0,0
399,0%,Green,1,2,0
400,10%,Green,1,5,0
401,12%,Green,0,2,0
402,11%,Green,0,1,0
403,12%,Green,0,6,0
404,12%,Green,0,0,0
405,12%,Green,0,3,0
406,11%,Bluish-Green,0,1,0
407,11%,Green,0,3,0
408,12%,Green,0,5,0
409,11%,Green,0,4,0
410,11%,Green,0,1,0
411,11%,Green,0,3,0
412,10%,Bluish-Green,0,4,0
413,0%,,0,5,0
414,0%,Green,0,1,0
415,1%,,0,0,0
416,0%,,0,0,0
417,11%,Blue-Green,0,0,0
418,11%,Green,0,0,0
419,11%,,0,0,0
420,11%,Green,0,7,2
421,12%,Green,0,1,0
422,12%,Green,0,4,0
423,0%,Green,0,2,0
424,12%,Bluish-Green,0,2,0
425,10%,Blue-Green,0,0,0
426,10%,Green,0,0,0
427,0%,Green,0,0,0
428,10%,Green,0,1,0
429,11%,Green,0,1,0
430,12%,Green,0,6,0
431,11%,Bluish-Green,0,4,0
432,13%,Green,0,7,0
433,12%,Blue-Green,0,0,0
434,11%,Green,0,9,0
435,11%,Blue-Green,0,1,0
436,12%,Green,0,1,0
437,11%,Green,0,0,0
438,8%,,0,0,0
439,13%,,0,1,0
440,4%,,0,1,0
441,11%,Green,0,4,0
442,10%,Green,0,1,0
443,12%,Green,0,3,0
444,11%,Green,0,0,1
445,7%,None,0,0,0
446,11%,Green,2,3,2
447,11%,Blue-Green,0,1,1
448,11%,Green,0,0,0
449,10%,Green,0,3,0
450,0%,Green,0,0,0
451,11%,Green,0,1,0
452,12%,Green,0,3,0
453,10%,Bluish-Green,0,1,0
454,12%,Bluish-Green,0,0,0
455,13%,Bluish-Green,0,6,0
456,0%,,0,4,0
457,10%,Bluish-Green,0,0,0
458,11%,Green,10,3,0
459,10%,Green,0,5,0
460,11%,Green,0,3,0
461,9%,Green,0,1,0
462,11%,Bluish-Green,0,0,0
463,12%,Green,0,1,0
464,11%,Green,0,2,0
465,11%,Green,0,2,0
466,12%,None,3,8,0
467,14%,None,0,10,0
468,11%,Green,1,2,0
469,13%,Green,0,5,0
470,11%,Blue-Green,0,0,0
471,11%,,0,5,0
472,12%,Green,0,1,0
473,11%,Green,0,4,0
474,0%,Green,0,10,0
475,12%,Blue-Green,0,3,0
476,2%,,0,2,0
477,14%,,0,3,0
478,1%,,0,0,0
479,0%,Green,0,4,1
480,0%,Green,1,5,2
481,11%,Bluish-Green,0,2,2
482,0%,Green,0,3,0
483,0%,Green,0,0,0
484,11%,Green,0,13,0
485,0%,Green,0,1,0
486,10%,Green,0,3,0
487,12%,Bluish-Green,0,8,0
488,11%,,0,0,0
489,10%,Bluish-Green,0,0,0
490,10%,,0,1,0
491,0%,,1,4,0
492,12%,Green,0,0,0
493,1%,,0,0,0
494,8%,,1,3,0
495,0%,,0,0,0
496,2%,,0,1,0
497,0%,Green,0,4,0
498,11%,Green,0,5,3
499,11%,Bluish-Green,0,3,2
500,12%,Green,0,6,0
501,12%,Green,0,8,5
502,11%,Green,0,4,0
503,0%,Green,0,0,0
504,11%,Green,0,3,0
505,11%,Green,0,2,0
506,11%,Green,0,2,0
507,0%,Green,0,0,0
508,8%,Green,0,0,0
509,12%,Green,0,0,0
510,0%,Bluish-Green,0,0,0
511,10%,Green,1,0,0
512,11%,Green,0,3,0
513,12%,Bluish-Green,0,4,0
514,11%,Green,1,1,0
515,0%,Green,0,0,0
516,11%,Green,0,1,0
517,0%,Green,0,2,0
518,11%,Green,1,2,0
519,11%,Green,0,20,0
520,11%,Green,0,7,0
521,11%,Green,5,8,0
522,0%,,1,4,0
523,0%,Green,0,4,0
524,11%,Green,0,0,0
525,10%,Green,0,2,0
526,12%,Bluish-Green,0,0,0
527,28%,,0,0,0
528,8%,,0,1,0
529,0%,,0,0,0
530,0%,,0,1,0
531,6%,,0,2,0
532,7%,,0,0,0
533,0%,,0,0,0
534,0%,Green,0,0,0
535,0%,Green,0,1,0
536,11%,Green,0,1,0
537,9%,Green,31,0,0
538,0%,Bluish-Green,1,20,0
539,0%,Green,0,9,0
540,11%,Blue-Green,0,1,0
541,0%,Bluish-Green,0,0,0
542,13%,Blue-Green,0,3,0
543,12%,Bluish-Green,2,8,0
544,11%,Green,0,16,0
545,12%,Green,0,0,0
546,12%,Green,0,4,0
547,10%,Green,0,1,0
548,10%,Green,0,2,0
549,10%,Green,0,4,0
550,11%,Green,0,2,0
551,0%,Bluish-Green,0,0,0
552,11%,Green,0,2,0
553,11%,Green,3,5,0
554,10%,Green,0,4,0
555,0%,None,0,17,0
556,14%,Green,1,4,0
557,10%,Green,0,0,0
558,15%,,0,0,0
559,0%,,0,0,0
560,10%,Green,0,3,0
561,11%,Green,1,2,1
562,11%,Bluish-Green,0,2,2
563,0%,Green,0,4,0
564,11%,Bluish-Green,0,0,0
565,11%,Green,11,0,0
566,11%,Green,0,2,0
567,12%,Green,2,6,0
568,0%,,0,1,0
569,0%,,0,9,0
570,10%,Green,0,4,0
571,0%,Green,4,4,0
572,11%,Green,0,3,0
573,11%,Green,0,5,0
574,12%,Green,2,10,0
575,12%,Blue-Green,0,7,0
576,11%,Green,0,10,0
577,11%,,0,2,0
578,0%,,1,3,0
579,10%,Green,0,3,1
580,11%,Green,0,8,0
581,11%,Green,0,4,0
582,10%,Green,0,1,0
583,10%,Green,0,1,0
584,12%,Blue-Green,0,15,0
585,12%,Green,0,0,0
586,0%,Green,0,0,0
587,0%,,0,4,0
588,9%,Bluish-Green,0,1,0
589,9%,Green,0,6,1
590,11%,Bluish-Green,0,1,2
591,10%,Green,0,0,0
592,11%,Green,0,2,0
593,0%,Blue-Green,0,2,0
594,12%,Bluish-Green,0,0,0
595,13%,Green,0,2,0
596,12%,Green,0,0,0
597,10%,Blue-Green,6,0,0
598,10%,Green,0,0,0
599,10%,Green,0,2,0
600,12%,Green,0,6,0
601,12%,,0,0,0
602,12%,,1,4,0
603,0%,Blue-Green,0,0,0
604,11%,Green,0,3,0
605,12%,Green,0,0,0
606,0%,Green,0,4,0
607,0%,,0,2,0
608,0%,Green,0,4,0
609,11%,Bluish-Green,0,3,2
610,13%,Bluish-Green,0,0,0
611,0%,Green,0,7,0
612,11%,Green,0,3,2
613,0%,Green,1,9,0
614,0%,Green,0,0,0
615,12%,,0,9,0
616,12%,Green,0,0,0
617,12%,Green,0,4,0
618,8%,Green,0,0,0
619,11%,Green,0,0,0
620,12%,Green,0,0,0
621,11%,Green,0,0,0
622,11%,Bluish-Green,0,0,0
623,11%,Bluish-Green,0,3,0
624,0%,None,0,17,0
625,11%,Green,0,0,0
626,12%,Bluish-Green,0,0,0
627,11%,,0,2,0
628,12%,,0,0,0
629,11%,Green,0,0,0
630,3%,,2,0,0
631,0%,,0,1,0
632,8%,,0,3,0
633,21%,,0,2,0
634,10%,Green,0,2,1
635,11%,Green,0,0,5
636,11%,Green,0,7,0
637,11%,Blue-Green,0,0,0
638,0%,Green,1,2,9
639,13%,Blue-Green,0,6,0
640,12%,Green,0,0,0
641,12%,Blue-Green,0,1,0
642,12%,,0,1,0
643,12%,Green,0,0,0
644,11%,Green,0,3,0
645,0%,Green,0,11,0
646,0%,Blue-Green,0,4,0
647,11%,Blue-Green,0,3,0
648,11%,,0,3,0
649,11%,Green,0,0,0
650,10%,Green,0,6,0
651,12%,Green,0,0,0
652,11%,Green,2,2,0
653,0%,,0,4,0
654,11%,Green,0,4,0
655,11%,Green,0,5,0
656,10%,Green,0,4,0
657,10%,Green,0,2,2
658,12%,Green,0,0,0
659,11%,,0,0,0
660,12%,Green,0,1,0
661,12%,Bluish-Green,0,3,0
662,0%,Green,0,1,0
663,11%,Bluish-Green,0,0,0
664,12%,Green,0,4,0
665,11%,Green,0,1,0
666,11%,Green,0,0,0
667,13%,None,0,10,0
668,12%,Green,0,5,0
669,11%,,0,2,0
670,11%,Green,0,5,0
671,0%,Blue-Green,0,4,0
672,11%,Green,1,3,0
673,12%,Green,2,3,0
674,1%,,1,14,0
675,12%,Green,0,6,1
676,10%,Green,0,2,1
677,12%,Green,0,0,0
678,12%,Green,0,0,0
679,11%,Green,0,3,2
680,11%,Green,0,1,0
681,10%,Green,0,0,0
682,11%,Green,0,0,1
683,13%,Green,0,7,0
684,0%,Green,0,0,0
685,10%,Green,0,0,0
686,11%,Green,0,0,0
687,12%,Blue-Green,0,1,0
688,0%,Green,0,3,0
689,0%,Green,0,0,0
690,12%,Green,0,0,0
691,9%,None,0,2,0
692,11%,Green,0,9,0
693,12%,Green,0,5,0
694,13%,Green,0,2,0
695,14%,Green,0,9,0
696,13%,Green,0,1,0
697,11%,Green,0,0,0
698,14%,Green,0,6,0
